"The only thing we have to fear is fear itself.","Franklin D. Roosevelt"
"I think, therefore I am.","René Descartes"
"That's one small step for man, one giant leap for mankind.","Neil Armstrong"
"Injustice anywhere is a threat to justice everywhere.","Martin Luther King Jr."
"To be, or not to be, that is the question.","William Shakespeare"
"Give me liberty, or give me death!","Patrick Henry"
"I have not failed. I've just found 10,000 ways that won't work.","Thomas Edison"
"Imagination is more important than knowledge.","Albert Einstein"
"Ask not what your country can do for you—ask what you can do for your country.","John F. Kennedy"
"An unexamined life is not worth living.","Socrates"
"Float like a butterfly, sting like a bee.","Muhammad Ali"
"Be the change that you wish to see in the world.","Mahatma Gandhi"
"Success is not final, failure is not fatal: It is the courage to continue that counts.","Winston Churchill"
"Power tends to corrupt, and absolute power corrupts absolutely.","Lord Acton"
"The journey of a thousand miles begins with one step.","Lao Tzu"
"Those who cannot remember the past are condemned to repeat it.","George Santayana"
"Knowledge is power.","Francis Bacon"
"All men are created equal.","Thomas Jefferson"
"Stay hungry, stay foolish.","Steve Jobs"
"Do or do not. There is no try.","Yoda"
